cenario,catalise,bioquimica,tempo_apos_formacao_gyr,tempo_cosmico_gyr,temperatura_k
Rapido,fixa,Carbono/agua,1.33107,4.37349,300.14
Rapido,fixa,Carbono/agua,0.331066,3.98154,339.766
Rapido,fixa,Carbono/agua,4.76003,10.5168,302.359
Rapido,fixa,Carbono/agua,0.354176,6.14788,349.268
Rapido,fixa,Carbono/agua,0.491327,7.40101,316.137
Rapido,fixa,Carbono/agua,0.39156,1.63826,328.502
Rapido,fixa,Carbono/agua,0.662,2.9487,319.5
Rapido,fixa,Carbono/agua,6.15348,11.5845,286.667
Rapido,fixa,Carbono/agua,11.4265,13.2065,277.236
Rapido,fixa,Carbono/agua,13.2762,18.3177,278.866
Rapido,fixa,Carbono/agua,16.5573,21.3861,281.047
Rapido,fixa,Carbono/agua,4.81053,12.106,282.107
Rapido,fixa,Carbono/agua,1.43251,5.65827,303.556
Rapido,fixa,Carbono/agua,0.538587,1.99574,336.338
Rapido,fixa,Carbono/agua,3.28266,13.78,290.003
Rapido,fixa,Carbono/agua,0.542509,8.16864,309.955
Rapido,fixa,Carbono/agua,4.97883,10.0209,290.236
Rapido,fixa,Carbono/agua,0.351409,9.38775,352.259
Rapido,fixa,Carbono/agua,5.63105,15,293.804
Rapido,fixa,Carbono/agua,0.352456,6.07796,335.48
Rapido,fixa,Carbono/agua,14.7771,16.6537,282.008
Rapido,fixa,Carbono/agua,0.452013,1.94853,334.919
Rapido,fixa,Carbono/agua,0.806202,11.5401,307.298
Rapido,fixa,Carbono/agua,10.1124,12.0546,284.649
Rapido,fixa,Carbono/agua,0.332684,3.39969,346.378
Rapido,fixa,Carbono/agua,0.726187,2.44231,300.322
Rapido,fixa,Carbono/agua,0.775726,3.50761,308.964
Rapido,fixa,Carbono/agua,3.05725,9.83109,296.078
Rapido,fixa,Carbono/agua,0.84373,3.38912,314.976
Rapido,fixa,Carbono/agua,2.77762,7.3503,302.505
Rapido,fixa,Carbono/agua,1.71933,8.27154,294.117
Rapido,fixa,Carbono/agua,0.371542,3.67053,336.157
Rapido,fixa,Carbono/agua,0.313358,3.68377,351.566
Rapido,fixa,Carbono/agua,1.95688,7.09297,290.196
Rapido,fixa,Carbono/agua,1.26309,5.91272,311.106
Rapido,fixa,Carbono/agua,4.38617,7.68539,279.66
Rapido,fixa,Carbono/agua,3.45127,8.17007,294.189
Rapido,fixa,Carbono/agua,2.73709,5.60029,278.768
Rapido,fixa,Carbono/agua,3.11148,6.82527,297.186
Rapido,fixa,Carbono/agua,7.55387,10.8514,293.765
Rapido,fixa,Carbono/agua,0.430692,3.56987,329.03
Rapido,fixa,Carbono/agua,0.527399,4.78427,303.953
Rapido,fixa,Carbono/agua,0.959008,3.22592,313.116
Rapido,fixa,Carbono/agua,0.471841,7.70852,336.327
Rapido,fixa,Carbono/agua,0.448144,2.89513,314.707
Rapido,fixa,Carbono/agua,4.1816,6.64207,294.993
Rapido,fixa,Carbono/agua,0.686396,3.80223,309.493
Rapido,fixa,Carbono/agua,2.17062,6.57165,282.743
Rapido,fixa,Carbono/agua,1.18321,5.62989,300.68
Rapido,fixa,Carbono/agua,0.31927,5.7573,347.624
Rapido,fixa,Carbono/agua,0.514574,9.31995,324.911
Rapido,fixa,Carbono/agua,2.76951,7.25611,304.349
Rapido,fixa,Carbono/agua,0.404056,6.63381,330.013
Rapido,fixa,Carbono/agua,0.482468,4.58676,333.498
Rapido,fixa,Carbono/agua,0.356988,11.494,342.301
Rapido,fixa,Carbono/agua,0.368296,5.35363,341.309
Rapido,fixa,Carbono/agua,0.966936,9.85664,294.302
Rapido,fixa,Carbono/agua,0.731911,11.9809,295.9
Rapido,fixa,Carbono/agua,0.645564,6.79026,327.125
Rapido,fixa,Carbono/agua,10.8323,19.2782,282.351
Rapido,fixa,Carbono/agua,1.76164,7.83654,290.836
Rapido,fixa,Carbono/agua,0.333586,4.20924,345.03
Rapido,fixa,Carbono/agua,1.13659,11.3865,301.466
Rapido,fixa,Carbono/agua,0.340082,8.19398,342.625
Rapido,fixa,Carbono/agua,0.335137,7.498,347.433
Rapido,fixa,Carbono/agua,1.05805,6.81693,304.579
Rapido,fixa,Carbono/agua,4.89526,17.3681,291.885
Rapido,fixa,Carbono/agua,1.27481,7.34952,288.028
Rapido,fixa,Carbono/agua,0.391869,6.60096,349.61
Rapido,fixa,Carbono/agua,0.418062,1.32733,336.497
Rapido,fixa,Carbono/agua,0.870208,7.50565,298.477
Rapido,fixa,Carbono/agua,4.40923,12.5358,287.043
Rapido,fixa,Carbono/agua,0.308428,6.70486,338.256
Rapido,fixa,Carbono/agua,0.399631,6.1345,327.617
Rapido,fixa,Carbono/agua,1.35686,3.03868,306.438
Rapido,fixa,Carbono/agua,2.81178,6.10713,290.688
Rapido,fixa,Carbono/agua,1.13032,12.2698,298.006
Rapido,fixa,Carbono/agua,0.433879,4.59096,331.937
Rapido,fixa,Carbono/agua,6.5889,16.5716,279.215
Rapido,fixa,Carbono/agua,1.09748,6.79656,283.392
Rapido,fixa,Carbono/agua,0.564871,5.27343,331.073
